GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
conexa,com.conexa.service.impl,PeopleServiceImpl,30,6,0,0,3,1,3,1,3,1
conexa,com.conexa.service.impl,UsersServiceImpl,0,22,0,0,0,5,0,4,0,4
conexa,com.conexa.service.impl,VehicleServiceImpl,30,6,0,0,3,1,3,1,3,1
conexa,com.conexa.service.impl,RoleServiceImpl,0,29,0,0,0,3,0,3,0,3
conexa,com.conexa.service.impl,AuthServiceImpl,0,128,0,4,0,21,0,6,0,4
conexa,com.conexa.service.impl,ConsumerServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
conexa,com.conexa.service.impl,FilmServiceImpl,8,6,0,0,1,1,1,1,1,1
conexa,com.conexa.service.impl,StarShipServiceImpl,39,6,2,0,5,1,4,1,3,1
conexa,com.conexa.service.impl,ConsumerServiceImpl,1,214,3,7,1,41,3,9,0,7
conexa,com.conexa.controller,PeopleController,27,3,4,0,4,1,4,1,2,1
conexa,com.conexa.controller,ControllerAdvice,48,3,0,0,15,1,3,1,3,1
conexa,com.conexa.controller,AuthController,13,6,0,0,4,1,2,1,2,1
conexa,com.conexa.controller,FilmsController,5,6,0,0,1,1,1,1,1,1
conexa,com.conexa.controller,StarShipController,30,3,4,0,4,1,4,1,2,1
conexa,com.conexa.controller,VehicleController,31,3,4,0,4,1,4,1,2,1
conexa,com.conexa,ConexaApplication,5,3,0,0,2,1,1,1,1,1
conexa,com.conexa.security.payload,MessageResponse,83,0,14,0,2,0,14,0,7,0
conexa,com.conexa.security.payload,RegisterRequestDTO,120,15,22,0,2,6,18,3,7,3
conexa,com.conexa.security.payload,JwtResponse,83,0,14,0,2,0,14,0,7,0
conexa,com.conexa.security.payload,LoginRequestDTO,120,15,22,0,2,6,18,3,7,3
conexa,com.conexa.security.jwt,JwtTokenUtil,111,4,0,0,27,1,5,1,5,1
conexa,com.conexa.security.jwt,JwtRequestFilter,76,7,8,0,18,2,6,2,2,2
conexa,com.conexa.security.jwt,JwtAuthEntryPoint,12,7,0,0,2,2,1,2,1,2
conexa,com.conexa.security.config,EncoderConfig,0,7,0,0,0,2,0,2,0,2
conexa,com.conexa.security.config,SecurityConfig,34,118,0,0,9,23,1,7,1,7
conexa,com.conexa.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
conexa,com.conexa.security.service,UserDetailsServiceImpl,70,0,2,0,13,0,4,0,3,0
conexa,com.conexa.domain,Role,0,17,0,0,0,4,0,5,0,5
conexa,com.conexa.domain,Users,7,24,0,0,1,5,2,7,2,7
conexa,com.conexa.dto,ResultDetailDTO,246,0,40,0,6,0,35,0,15,0
conexa,com.conexa.dto,ResultFilmDTO,255,0,46,0,6,0,38,0,15,0
conexa,com.conexa.dto,ResponseFilmDTO,126,0,22,0,3,0,20,0,9,0
conexa,com.conexa.dto,StarshipDTO,169,0,30,0,4,0,26,0,11,0
conexa,com.conexa.dto,PropertiesPeopleDTO,556,0,102,0,13,0,80,0,29,0
conexa,com.conexa.dto,VehiclesDTO,169,0,30,0,4,0,26,0,11,0
conexa,com.conexa.dto,ErrorDTO.ErrorDTOBuilder,38,0,0,0,1,0,5,0,5,0
conexa,com.conexa.dto,PropertiesStarshipDTO,771,0,142,0,18,0,110,0,39,0
conexa,com.conexa.dto,PropertiesFilmDTO,625,0,112,0,15,0,89,0,33,0
conexa,com.conexa.dto,PageDTO,219,45,42,0,0,7,25,13,4,13
conexa,com.conexa.dto,ResponseDetailDTO,126,0,22,0,3,0,20,0,9,0
conexa,com.conexa.dto,PeopleDTO,169,0,30,0,4,0,26,0,11,0
conexa,com.conexa.dto,PropertiesVehiclesDTO,556,0,102,0,13,0,80,0,29,0
conexa,com.conexa.dto,ErrorDTO,136,0,22,0,4,0,21,0,10,0
conexa,com.conexa.exception,ServerExternalException,103,13,16,0,2,5,15,2,7,2
conexa,com.conexa.exception,AuthException,103,13,16,0,2,5,15,2,7,2
